bucket,id,subset,category,noise_source,impulse_source,by
stationary_15,0003,v1,v1/stationary,dnsn:fan_Freesound_validated_263504_5,,noise
stationary_15,0004,v1,v1/stationary,dnsn:door_Freesound_validated_203143_4,,noise
stationary_15,0007,v1,v1/stationary,dnsn:fan_Freesound_validated_430043_6,,noise
stationary_15,0008,v1,v1/stationary,dnsn:fan_Freesound_validated_452146_1,,noise
stationary_15,0010,v1,v1/stationary,dnsn:copy-machine_Freesound_validated_413342_2,,noise
stationary_15,0013,v1,v1/stationary,dnsn:door_Freesound_validated_212076_0,,noise
stationary_15,0015,v1,v1/stationary,dnsn:fan_Freesound_validated_446319_31,,noise
changing_-10,0001,v1,v1/changing,dnsn:breath_spit_Freesound_validated_205526_2,,noise
changing_-10,0002,v1,v1/changing,dnsn:door_Freesound_validated_466564_7,,noise
changing_-10,0005,v1,v1/changing,dnsn:typing_Freesound_validated_177243_2,,noise
changing_-10,0011,v1,v1/changing,dnsn:door_Freesound_validated_442417_3,,noise
changing_-10,0013,v1,v1/changing,dnsn:door_Freesound_validated_237739_0,,noise
changing_-10,0017,v1,v1/changing,dnsn:door_Freesound_validated_250026_3,,noise
changing_-5,0001,v1,v1/changing,dnsn:fan_Freesound_validated_267497_177,,noise
changing_-5,0002,v1,v1/changing,dnsn:door_Freesound_validated_350318_1,,noise
changing_-5,0004,v1,v1/changing,dnsn:squeak_squeakyChair_Freesound_validated_390844_3,,noise
changing_-5,0005,v1,v1/changing,dnsn:typing_Freesound_validated_455043_20,,noise
changing_-5,0006,v1,v1/changing,dnsn:typing_Freesound_validated_458267_4,,noise
changing_-5,0008,v1,v1/changing,dnsn:door_Freesound_validated_316092_1,,noise
changing_-5,0009,v1,v1/changing,esc50:door_wood_knock/5-250026-A-30,,noise
changing_-5,0012,v1,v1/changing,dnsn:breath_spit_Freesound_validated_319022_7,,noise
changing_-5,0015,v1,v1/changing,dnsn:door_Freesound_validated_250026_3,,noise
changing_-5,0017,v1,v1/changing,dnsn:breath_spit_Freesound_validated_205526_4,,noise
changing_0,0005,v1,v1/changing,dnsn:squeak_squeakyChair_Freesound_validated_413911_4,,noise
changing_0,0010,v1,v1/changing,dnsn:door_Freesound_validated_347890_1,,noise
changing_0,0011,v1,v1/changing,dnsn:door_Freesound_validated_452784_0,,noise
changing_0,0012,v1,v1/changing,dnsn:door_Freesound_validated_385420_1,,noise
changing_0,0017,v1,v1/changing,dnsn:typing_Freesound_validated_396304_10,,noise
changing_5,0000,v1,v1/changing,dnsn:breath_spit_Freesound_validated_471080_4,,noise
changing_5,0003,v1,v1/changing,dnsn:copy-machine_Freesound_validated_89985_1,,noise
changing_5,0004,v1,v1/changing,dnsn:door_Freesound_validated_460364_2,,noise
changing_5,0006,v1,v1/changing,dnsn:typing_Freesound_validated_456191_6,,noise
changing_5,0009,v1,v1/changing,dnsn:door_Freesound_validated_350624_1,,noise
changing_5,0013,v1,v1/changing,dnsn:door_Freesound_validated_354033_3,,noise
changing_5,0018,v1,v1/changing,dnsn:door_Freesound_validated_264471_2,,noise
changing_5,0019,v1,v1/changing,dnsn:door_Freesound_validated_414067_7,,noise
changing_10,0006,v1,v1/changing,dnsn:door_Freesound_validated_108671_0,,noise
changing_10,0007,v1,v1/changing,dnsn:door_Freesound_validated_450812_0,,noise
changing_10,0009,v1,v1/changing,dnsn:door_Freesound_validated_152843_3,,noise
changing_10,0010,v1,v1/changing,dnsn:door_Freesound_validated_213793_3,,noise
changing_10,0011,v1,v1/changing,dnsn:typing_Freesound_validated_65410_7,,noise
changing_10,0014,v1,v1/changing,dnsn:fan_Freesound_validated_267497_142,,noise
changing_10,0018,v1,v1/changing,dnsn:door_Freesound_validated_41463_3,,noise
changing_10,0019,v1,v1/changing,dnsn:door_Freesound_validated_195849_0,,noise
changing_15,0000,v1,v1/changing,dnsn:door_Freesound_validated_152843_3,,noise
changing_15,0002,v1,v1/changing,dnsn:fan_Freesound_validated_267497_152,,noise
changing_15,0006,v1,v1/changing,dnsn:door_Freesound_validated_237739_0,,noise
changing_15,0008,v1,v1/changing,dnsn:door_Freesound_validated_393423_2,,noise
changing_15,0011,v1,v1/changing,dnsn:door_Freesound_validated_450812_0,,noise
changing_15,0012,v1,v1/changing,dnsn:squeak_squeakyChair_Freesound_validated_352868_3,,noise
changing_15,0013,v1,v1/changing,dnsn:typing_Freesound_validated_220827_13,,noise
changing_15,0014,v1,v1/changing,dnsn:door_Freesound_validated_237739_0,,noise
changing_15,0016,v1,v1/changing,dnsn:door_Freesound_validated_407322_5,,noise
changing_15,0018,v1,v1/changing,dnsn:typing_Freesound_validated_457561_18,,noise
changing_15,0019,v1,v1/changing,dnsn:door_Freesound_validated_354033_3,,noise
impulsive_-10,0000,v1,v1/impulsive,dnsn:breath_spit_Freesound_validated_205526_4,synthetic:burst,noise
impulsive_-10,0001,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_171856_14,synthetic:click_train,noise
impulsive_-10,0003,v1,v1/impulsive,dnsn:fan_Freesound_validated_391471_2,synthetic:click_train,noise
impulsive_-10,0004,v1,v1/impulsive,dnsn:door_Freesound_validated_196152_2,synthetic:burst,noise
impulsive_-10,0006,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_414193_11,synthetic:gated_noise,noise
impulsive_-10,0009,v1,v1/impulsive,dnsn:typing_Freesound_validated_344138_0,synthetic:burst,noise
impulsive_-10,0010,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_399668_0,synthetic:gated_noise,noise
impulsive_-10,0012,v1,v1/impulsive,dnsn:door_Freesound_validated_466565_0,synthetic:gated_noise,noise
impulsive_-10,0013,v1,v1/impulsive,dnsn:door_Freesound_validated_407210_3,synthetic:gated_noise,noise
impulsive_-10,0014,v1,v1/impulsive,dnsn:door_Freesound_validated_365254_0,synthetic:click_train,noise
impulsive_-10,0017,v1,v1/impulsive,dnsn:typing_Freesound_validated_399603_46,synthetic:gated_noise,noise
impulsive_-10,0019,v1,v1/impulsive,dnsn:door_Freesound_validated_381555_2,synthetic:click_train,noise
impulsive_-5,0003,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_448675_3,synthetic:click_train,noise
impulsive_-5,0004,v1,v1/impulsive,dnsn:door_Freesound_validated_350624_1,synthetic:gated_noise,noise
impulsive_-5,0006,v1,v1/impulsive,dnsn:door_Freesound_validated_407210_4,synthetic:click_train,noise
impulsive_-5,0007,v1,v1/impulsive,dnsn:door_Freesound_validated_257372_2,synthetic:click_train,noise
impulsive_-5,0009,v1,v1/impulsive,dnsn:breath_spit_Freesound_validated_455440_15,synthetic:gated_noise,noise
impulsive_-5,0012,v1,v1/impulsive,dnsn:door_Freesound_validated_457241_1,synthetic:click_train,noise
impulsive_-5,0014,v1,v1/impulsive,dnsn:door_Freesound_validated_135430_1,synthetic:burst,noise
impulsive_-5,0016,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_413694_14,synthetic:burst,noise
impulsive_-5,0017,v1,v1/impulsive,dnsn:door_Freesound_validated_62608_0,synthetic:click_train,noise
impulsive_0,0000,v1,v1/impulsive,dnsn:door_Freesound_validated_32938_1,synthetic:gated_noise,noise
impulsive_0,0001,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_430637_3,synthetic:burst,noise
impulsive_0,0002,v1,v1/impulsive,dnsn:fan_Freesound_validated_399925_5,synthetic:gated_noise,noise
impulsive_0,0007,v1,v1/impulsive,dnsn:fan_Freesound_validated_267497_155,synthetic:burst,noise
impulsive_0,0008,v1,v1/impulsive,dnsn:door_Freesound_validated_267284_4,synthetic:burst,noise
impulsive_0,0010,v1,v1/impulsive,dnsn:door_Freesound_validated_203087_1,synthetic:click_train,noise
impulsive_0,0016,v1,v1/impulsive,dnsn:door_Freesound_validated_414067_7,synthetic:gated_noise,noise
impulsive_0,0018,v1,v1/impulsive,dnsn:breath_spit_Freesound_validated_205526_2,synthetic:burst,noise
impulsive_5,0005,v1,v1/impulsive,dnsn:dragging_Freesound_validated_245766_1,synthetic:click_train,noise
impulsive_5,0007,v1,v1/impulsive,dnsn:door_Freesound_validated_342622_5,synthetic:click_train,noise
impulsive_5,0008,v1,v1/impulsive,dnsn:door_Freesound_validated_330635_0,synthetic:burst,noise
impulsive_5,0012,v1,v1/impulsive,dnsn:fan_Freesound_validated_329644_3,synthetic:gated_noise,noise
impulsive_5,0013,v1,v1/impulsive,dnsn:door_Freesound_validated_151089_0,synthetic:gated_noise,noise
impulsive_5,0016,v1,v1/impulsive,dnsn:fan_Freesound_validated_398871_2,synthetic:click_train,noise
impulsive_5,0018,v1,v1/impulsive,dnsn:typing_Freesound_validated_449609_0,synthetic:burst,noise
impulsive_10,0000,v1,v1/impulsive,dnsn:door_Freesound_validated_238332_18,synthetic:gated_noise,noise
impulsive_10,0003,v1,v1/impulsive,dnsn:fan_Freesound_validated_398871_2,synthetic:burst,noise
impulsive_10,0004,v1,v1/impulsive,dnsn:door_Freesound_validated_407212_7,synthetic:click_train,noise
impulsive_10,0005,v1,v1/impulsive,dnsn:door_Freesound_validated_426228_0,synthetic:gated_noise,noise
impulsive_10,0006,v1,v1/impulsive,dnsn:typing_Freesound_validated_328653_4,synthetic:click_train,noise
impulsive_10,0009,v1,v1/impulsive,dnsn:breath_spit_Freesound_validated_455440_7,synthetic:click_train,noise
impulsive_10,0013,v1,v1/impulsive,dnsn:typing_Freesound_validated_360506_3,synthetic:click_train,noise
impulsive_10,0014,v1,v1/impulsive,dnsn:door_Freesound_validated_144069_3,synthetic:click_train,noise
impulsive_10,0015,v1,v1/impulsive,dnsn:door_Freesound_validated_367331_2,synthetic:gated_noise,noise
impulsive_10,0019,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_399668_0,synthetic:click_train,noise
impulsive_15,0002,v1,v1/impulsive,dnsn:fan_Freesound_validated_267497_47,synthetic:burst,noise
impulsive_15,0006,v1,v1/impulsive,dnsn:door_Freesound_validated_238332_3,synthetic:gated_noise,noise
impulsive_15,0007,v1,v1/impulsive,dnsn:door_Freesound_validated_365254_0,synthetic:burst,noise
impulsive_15,0010,v1,v1/impulsive,dnsn:door_Freesound_validated_144069_3,synthetic:burst,noise
impulsive_15,0012,v1,v1/impulsive,dnsn:door_Freesound_validated_372874_4,synthetic:burst,noise
impulsive_15,0013,v1,v1/impulsive,dnsn:door_Freesound_validated_331231_21,synthetic:click_train,noise
impulsive_15,0017,v1,v1/impulsive,dnsn:squeak_squeakyChair_Freesound_validated_452631_14,synthetic:gated_noise,noise
impulsive+stationary_-10,0000,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_396963_3,synthetic:click_train,noise
impulsive+stationary_-10,0001,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_398821_0,synthetic:gated_noise,noise
impulsive+stationary_-10,0004,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_147266_5,synthetic:burst,noise
impulsive+stationary_-10,0009,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_413923_15,synthetic:gated_noise,noise
impulsive+stationary_-10,0014,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_202515_56,synthetic:burst,noise
impulsive+stationary_-10,0015,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_423758_3,synthetic:burst,noise
impulsive+stationary_-10,0016,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_458454_3,synthetic:burst,noise
impulsive+stationary_-10,0018,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_212082_3,synthetic:click_train,noise
impulsive+stationary_-5,0007,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_110310_25,synthetic:gated_noise,noise
impulsive+stationary_-5,0010,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_452146_1,synthetic:click_train,noise
impulsive+stationary_-5,0013,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_331892_4,synthetic:gated_noise,noise
impulsive+stationary_-5,0014,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_337105_6,synthetic:click_train,noise
impulsive+stationary_-5,0018,v1,v1/impulsive+stationary,dnsn:breath_spit_Freesound_validated_352353_4,synthetic:burst,noise
impulsive+stationary_-5,0019,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_437343_2,synthetic:gated_noise,noise
impulsive+stationary_0,0000,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_321907_3,synthetic:gated_noise,noise
impulsive+stationary_0,0001,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_437340_6,synthetic:click_train,noise
impulsive+stationary_0,0004,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_456207_43,synthetic:gated_noise,noise
impulsive+stationary_0,0006,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_434632_16,synthetic:gated_noise,noise
impulsive+stationary_0,0008,v1,v1/impulsive+stationary,dnsn:typing_Freesound_validated_376934_1,synthetic:gated_noise,noise
impulsive+stationary_0,0011,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_332842_9,synthetic:gated_noise,noise
impulsive+stationary_0,0012,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_440123_24,synthetic:burst,noise
impulsive+stationary_0,0013,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_238332_17,synthetic:click_train,noise
impulsive+stationary_5,0001,v1,v1/impulsive+stationary,dnsn:typing_Freesound_validated_237612_17,synthetic:click_train,noise
impulsive+stationary_5,0002,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_443088_2,synthetic:click_train,noise
impulsive+stationary_5,0003,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_344713_0,synthetic:gated_noise,noise
impulsive+stationary_5,0004,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_456207_43,synthetic:gated_noise,noise
impulsive+stationary_5,0006,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_110310_28,synthetic:burst,noise
impulsive+stationary_5,0007,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_380837_3,synthetic:click_train,noise
impulsive+stationary_5,0010,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_437340_6,synthetic:click_train,noise
impulsive+stationary_5,0017,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_365254_7,synthetic:burst,noise
impulsive+stationary_10,0006,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_425183_26,synthetic:gated_noise,noise
impulsive+stationary_10,0008,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_457437_2,synthetic:burst,noise
impulsive+stationary_10,0009,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_325566_3,synthetic:gated_noise,noise
impulsive+stationary_10,0013,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_456207_34,synthetic:gated_noise,noise
impulsive+stationary_10,0014,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_170486_3,synthetic:gated_noise,noise
impulsive+stationary_10,0015,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_350626_3,synthetic:gated_noise,noise
impulsive+stationary_10,0017,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_414067_18,synthetic:click_train,noise
impulsive+stationary_10,0018,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_432712_5,synthetic:click_train,noise
impulsive+stationary_10,0019,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_440123_24,synthetic:burst,noise
impulsive+stationary_15,0006,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_148627_1,synthetic:burst,noise
impulsive+stationary_15,0007,v1,v1/impulsive+stationary,dnsn:door_Freesound_validated_362807_4,synthetic:gated_noise,noise
impulsive+stationary_15,0017,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_205076_0,synthetic:click_train,noise
impulsive+stationary_15,0018,v1,v1/impulsive+stationary,dnsn:fan_Freesound_validated_107224_4,synthetic:click_train,noise
recorded_impulsive_-10,0000,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_329644_3,esc50:mouse_click/4-192068-A-31,noise
recorded_impulsive_-10,0005,v1,v1/recorded_impulsive,dnsn:breath_spit_Freesound_validated_352353_1,esc50:keyboard_typing/4-181708-A-32,noise
recorded_impulsive_-10,0006,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_399925_6,esc50:mouse_click/5-238926-A-31,noise
recorded_impulsive_-10,0009,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_257372_26,esc50:can_opening/4-216349-A-34,noise
recorded_impulsive_-10,0010,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_452780_0,esc50:keyboard_typing/4-181708-A-32,impulse
recorded_impulsive_-10,0012,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_264889_7,esc50:can_opening/3-170002-A-34,noise
recorded_impulsive_-10,0015,v1,v1/recorded_impulsive,mad:shooting/188_7,esc50:keyboard_typing/4-181708-A-32,impulse
recorded_impulsive_-10,0018,v1,v1/recorded_impulsive,dnsn:munching_Freesound_validated_138155_0,esc50:clock_tick/3-143933-A-38,noise
recorded_impulsive_-10,0019,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_414067_7,esc50:can_opening/3-147343-A-34,noise
recorded_impulsive_-5,0004,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_344137_15,esc50:can_opening/5-244327-A-34,noise
recorded_impulsive_-5,0005,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_267497_152,esc50:can_opening/3-147343-A-34,noise
recorded_impulsive_-5,0006,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_455043_20,esc50:clock_tick/1-57163-A-38,noise
recorded_impulsive_-5,0009,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_413694_15,esc50:can_opening/5-237795-A-34,noise
recorded_impulsive_-5,0011,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_277164_5,esc50:clock_tick/1-57163-A-38,noise
recorded_impulsive_-5,0012,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_267497_172,esc50:mouse_click/4-192068-A-31,noise
recorded_impulsive_-5,0015,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_41463_3,esc50:clock_tick/1-57163-A-38,noise
recorded_impulsive_0,0001,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_428634_0,esc50:mouse_click/5-233019-A-31,noise
recorded_impulsive_0,0006,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_342677_4,esc50:mouse_click/5-233019-A-31,noise
recorded_impulsive_0,0010,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_452801_1,esc50:footsteps/3-103599-B-25,noise
recorded_impulsive_0,0011,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_407212_7,esc50:keyboard_typing/4-181708-A-32,noise
recorded_impulsive_0,0012,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_455200_2,esc50:mouse_click/5-233019-A-31,noise
recorded_impulsive_0,0013,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_349137_1,esc50:can_opening/5-237795-A-34,noise
recorded_impulsive_0,0015,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_331231_3,esc50:can_opening/4-216349-A-34,noise
recorded_impulsive_5,0002,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_257751_4,esc50:can_opening/4-216349-A-34,noise
recorded_impulsive_5,0003,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_457561_0,esc50:can_opening/4-216349-A-34,noise
recorded_impulsive_5,0004,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_329644_1,esc50:keyboard_typing/4-181708-A-32,noise
recorded_impulsive_5,0006,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_275234_5,esc50:footsteps/3-103599-B-25,noise
recorded_impulsive_5,0007,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_398871_2,esc50:keyboard_typing/1-62594-A-32,noise
recorded_impulsive_5,0008,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_383677_15,esc50:clock_tick/3-143933-A-38,noise
recorded_impulsive_5,0010,v1,v1/recorded_impulsive,dnsn:breath_spit_Freesound_validated_455440_9,esc50:mouse_click/3-167096-A-31,noise
recorded_impulsive_5,0013,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_257372_26,esc50:mouse_click/5-238926-A-31,noise
recorded_impulsive_5,0015,v1,v1/recorded_impulsive,dnsn:fan_Freesound_validated_398871_2,esc50:can_opening/5-244327-A-34,noise
recorded_impulsive_5,0016,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_465346_2,esc50:mouse_click/4-192068-A-31,noise
recorded_impulsive_5,0017,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_459797_2,esc50:can_opening/5-244327-A-34,noise
recorded_impulsive_10,0005,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_378075_1,esc50:mouse_click/3-167096-A-31,noise
recorded_impulsive_10,0008,v1,v1/recorded_impulsive,esc50:sea_waves/1-39901-B-11,esc50:keyboard_typing/4-181708-A-32,impulse
recorded_impulsive_10,0009,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_186227_5,esc50:clock_tick/3-143933-A-38,noise
recorded_impulsive_10,0013,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_423762_1,esc50:fireworks/3-172881-A-48,noise
recorded_impulsive_10,0014,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_241317_1,esc50:keyboard_typing/4-181708-A-32,impulse
recorded_impulsive_10,0016,v1,v1/recorded_impulsive,dnsn:breath_spit_Freesound_validated_448858_0,esc50:keyboard_typing/4-181708-A-32,impulse
recorded_impulsive_10,0019,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_410566_2,esc50:can_opening/3-147343-A-34,noise
recorded_impulsive_15,0001,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_404076_0,esc50:can_opening/4-216349-A-34,noise
recorded_impulsive_15,0005,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_407212_7,esc50:can_opening/2-81112-A-34,noise
recorded_impulsive_15,0006,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_413694_14,esc50:keyboard_typing/1-62594-A-32,noise
recorded_impulsive_15,0008,v1,v1/recorded_impulsive,dnsn:door_Freesound_validated_264889_7,esc50:fireworks/3-172881-A-48,noise
recorded_impulsive_15,0014,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_171856_4,esc50:clock_tick/1-57163-A-38,noise
recorded_impulsive_15,0016,v1,v1/recorded_impulsive,dnsn:squeak_squeakyChair_Freesound_validated_390844_0,esc50:mouse_click/4-192068-A-31,noise
recorded_impulsive_15,0017,v1,v1/recorded_impulsive,dnsn:typing_Freesound_validated_383677_7,esc50:can_opening/3-147343-A-34,noise
recorded_impulsive+stationary_-10,0000,v1,v1/recorded_impulsive+stationary,dnsn:door_Freesound_validated_171084_17,esc50:mouse_click/5-238926-A-31,noise
recorded_impulsive+stationary_-10,0007,v1,v1/recorded_impulsive+stationary,dnsn:fan_Freesound_validated_380839_1,esc50:keyboard_typing/4-181708-A-32,noise
recorded_impulsive+stationary_-10,0009,v1,v1/recorded_impulsive+stationary,dnsn:door_Freesound_validated_204489_27,esc50:mouse_click/3-167096-A-31,noise
recorded_impulsive+stationary_-10,0012,v1,v1/recorded_impulsive+stationary,dnsn:squeak_squeakyChair_Freesound_validated_414105_18,esc50:keyboard_typing/1-62594-A-32,noise
recorded_impulsive+stationary_-10,0015,v1,v1/recorded_impulsive+stationary,dnsn:typing_Freesound_validated_466758_1,esc50:clock_tick/3-143933-A-38,noise
recorded_impulsive+stationary_-10,0017,v1,v1/recorded_impulsive+stationary,dnsn:fan_Freesound_validated_446319_47,esc50:keyboard_typing/4-181708-A-32,noise
recorded_impulsive+stationary_-10,0019,v1,v1/recorded_impulsive+stationary,dnsn:door_Freesound_validated_165933_1,esc50:mouse_click/3-167096-A-31,noise
recorded_impulsive+stationary_-5,0002,v1,v1/recorded_impulsive+stationary,dnsn:fan_Freesound_validated_170658_1,esc50:mouse_click/4-192068-A-31,noise
